label	completed	cudagraph_captured	decode_ms_avg	eager_fallback	gpu_util_mean	interactivity_tok_s	iter_tokens_avg	kv_max	kv_mean	mean_e2e_ms	mean_itl_ms	mean_tpot_ms	mean_ttft_ms	mem_used_mb	out_tput	p99_tpot_ms	p99_ttft_ms	power_max_w	power_mean_w	preempt_warn	preemptions	prefill_ms_avg	prefix_hit_rate	queue_ms_avg	req_tput	running_max	running_mean	spec_accept_rate	tot_tput	waiting_max	waiting_mean
cf_c4_b10_r1	40	False	6474.2	False	88.17	137.7	34.5	2.46	1.66	6905.1	7.27	7.26	396.8	133351.0	510.7	7.71	1186.1	606.15	465.5	0	0.0	388.0	0.0	13.0	0.57	4.0	3.44		4605.5	1.0	0.01
cf_c4_b10_r2	40	False	6385.6	False	87.48	139.3	34.5	2.38	1.63	6828.8	7.18	7.18	397.8	133351.0	516.4	7.72	1191.7	659.58	461.44	0	0.0	388.1	0.0	13.8	0.576	4.0	3.4		4656.8	1.0	0.01
cf_c4_b10_r3	40	False	6438.7	False	87.06	139.1	34.5	2.32	1.6	6843.7	7.2	7.19	397.9	133351.0	515.4	7.78	1191.7	657.97	462.14	0	0.0	385.9	0.0	12.2	0.575	4.0	3.34		4647.1	1.0	0.01
cf_c4_b10_r4	40	False	6424.1	False	88.04	139.3	34.5	2.34	1.64	6834.5	7.18	7.18	404.7	133351.0	516.2	7.93	1180.7	634.97	463.52	0	0.0	392.0	0.0	12.9	0.576	4.0	3.39		4654.6	1.0	0.02
cf_c4_b10_r5	40	False	6440.1	False	87.1	138.9	34.5	2.34	1.6	6853.1	7.2	7.2	399.7	133351.0	514.6	7.75	1189.1	651.29	463.27	0	0.0	389.6	0.0	12.9	0.574	4.0	3.35		4640.3	1.0	0.01
cf_c4_b1_r1	4	False	6001.7	False	61.16	153.1	32.4	2.04	1.01	6645.1	6.55	6.53	877.6	133351.0	492.4	6.78	1259.4	666.23	357.57	0	0.0	635.5	0.0	57.9	0.558	4.0	2.16		4525.5	1.0	0.02
cf_c4_b1_r2	4	False	6004.7	False	64.87	151.7	32.4	2.04	1.06	6691.8	6.6	6.59	880.2	133351.0	488.8	7.07	1261.9	651.61	365.74	0	0.0	626.0	0.0	54.4	0.554	4.0	2.26		4492.3	0.0	0.0
cf_c4_b1_r3	4	False	6175.7	False	65.62	149.0	32.4	2.04	1.12	6781.6	6.7	6.71	882.7	133351.0	482.6	7.17	1264.3	639.57	369.55	0	0.0	626.3	0.0	48.6	0.547	4.0	2.38		4434.9	1.0	0.02
cf_c4_b1_r4	4	False	6177.0	False	65.62	149.9	32.4	2.11	1.07	6722.5	6.66	6.67	853.3	133351.0	486.5	7.15	1266.2	664.62	369.15	0	0.0	625.9	0.0	51.3	0.552	4.0	2.25		4470.7	0.0	0.0
cf_c4_b1_r5	4	False	5865.3	False	64.52	152.0	32.4	2.0	1.16	6687.1	6.58	6.58	887.4	133351.0	489.5	6.88	1268.2	608.98	360.89	0	0.0	635.6	0.0	52.0	0.555	4.0	2.45		4498.2	1.0	0.02
cf_c4_b2_r1	8	False	5759.2	False	70.27	145.1	36.0	2.36	1.26	6757.3	6.88	6.89	647.7	133351.0	508.8	7.42	1260.5	648.11	390.0	0	0.0	569.3	0.0	43.5	0.572	4.0	2.65		4655.4	1.0	0.05
